song_id,candidate_a_temp,candidate_b_temp,preference,strength
real_song_000,0.1,0.3,b,1
real_song_000,0.1,0.5,a,5
real_song_000,0.1,0.7,a,6
real_song_000,0.1,0.9,a,3
real_song_000,0.3,0.5,tie,1
real_song_000,0.3,0.7,b,8
real_song_000,0.3,0.9,a,5
real_song_000,0.5,0.7,b,6
real_song_000,0.5,0.9,a,5
real_song_000,0.7,0.9,a,9
real_song_001,0.1,0.3,tie,1
real_song_001,0.1,0.5,a,3
real_song_001,0.1,0.7,b,5
real_song_001,0.1,0.9,b,7
real_song_001,0.3,0.5,tie,1
real_song_001,0.3,0.7,b,1
real_song_001,0.3,0.9,b,6
real_song_001,0.5,0.7,b,1
real_song_001,0.5,0.9,b,5
real_song_001,0.7,0.9,tie,5
real_song_002,0.1,0.3,b,5
real_song_002,0.1,0.5,b,5
real_song_002,0.1,0.7,b,1
real_song_002,0.1,0.9,a,9
real_song_002,0.3,0.5,a,2
real_song_002,0.3,0.7,a,3
real_song_002,0.3,0.9,a,6
real_song_002,0.5,0.7,a,1
real_song_002,0.5,0.9,a,8
real_song_002,0.7,0.9,a,2
real_song_003,0.1,0.3,tie,5
real_song_003,0.1,0.5,a,6
real_song_003,0.1,0.7,a,7
real_song_003,0.1,0.9,a,8
real_song_003,0.3,0.5,a,7
real_song_003,0.3,0.7,a,8
real_song_003,0.3,0.9,a,9
real_song_003,0.5,0.7,a,1
real_song_003,0.5,0.9,a,5
real_song_003,0.7,0.9,tie,1
real_song_004,0.1,0.3,b,3
real_song_004,0.1,0.5,b,5
real_song_004,0.1,0.7,b,5
real_song_004,0.1,0.9,tie,1
real_song_004,0.3,0.5,b,3
real_song_004,0.3,0.7,tie,1
real_song_004,0.3,0.9,a,5
real_song_004,0.5,0.7,a,5
real_song_004,0.5,0.9,a,6
real_song_004,0.7,0.9,a,8
real_song_005,0.1,0.3,tie,5
real_song_005,0.1,0.5,a,1
real_song_005,0.1,0.7,a,2
real_song_005,0.1,0.9,a,6
real_song_005,0.3,0.5,tie,3
real_song_005,0.3,0.7,b,5
real_song_005,0.3,0.9,a,6
real_song_005,0.5,0.7,b,3
real_song_005,0.5,0.9,a,4
real_song_005,0.7,0.9,b,9
real_song_006,0.1,0.3,b,1
real_song_006,0.1,0.5,b,5
real_song_006,0.1,0.7,tie,1
real_song_006,0.1,0.9,a,1
real_song_006,0.3,0.5,b,5
real_song_006,0.3,0.7,tie,1
real_song_006,0.3,0.9,a,5
real_song_006,0.5,0.7,a,6
real_song_006,0.5,0.9,a,6
real_song_006,0.7,0.9,a,1
